<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
First Priority Clo Bond ETF,AAA,20260109,24.92,24.95,24.92,24.945,6100
Amplius Aggressive Asset Allocation ETF,AAAA,20260109,27.77,27.8299,27.74,27.8299,4700
Columbia AAA Clo ETF,AAAC.OB,20260109,20.095,20.095,20.095,20.095,0
GS Physical Gold ETF,AAAU,20260109,44.36,44.57,44.2099,44.48,2058200
Innovator Equity Defined Protection ETF Apr 26,AAPR,20260109,28.4675,28.495,28.4675,28.495,700
Roundhill Aapl Weeklypay ETF,AAPW,20260109,37.9,38.0499,37.4,37.83,23500
T-Rex 2X Long Apple Daily Target ETF,AAPX,20260109,27.54,27.77,26.945,27.62,124900
Kurv Yield Premium Apple [Aapl] ETF,AAPY,20260109,23.69,23.835,23.5445,23.7614,3700
Tema Alternative Asset Managers ETF,AAUM,20260109,25.6098,25.6098,25.6098,25.6098,100
Absolute Core Strategy ETF,ABEQ,20260109,36.45,36.59,36.45,36.4901,6900
Abacus Fcf Leaders ETF,ABFL,20260109,72.57,72.6099,72.36,72.56,16700
Abacus Fcf Real Assets Leaders ETF,ABLD,20260109,29.98,30.2,29.98,30.19,5500
Abacus Fcf International Leaders ETF,ABLG,20260109,32.49,32.49,32.4775,32.4775,4300
Abacus Fcf Small Cap Leaders ETF,ABLS,20260109,20.3858,20.3858,20.3858,20.3858,100
Yieldmax Abnb Option Income Strategy ETF,ABNY,20260109,46.05,47.78,46.05,47.4363,5000
Abacus Fcf Innovation Leaders ETF,ABOT,20260109,38.6998,38.6998,38.6998,38.6998,100
Abacus Flexible Bond Leaders ETF,ABXB,20260109,19.62,19.635,19.62,19.635,500
Access Newswire Inc,ACCS,20260109,9.8,10.53,9.0001,9.11,102300
Innovator Equity Autocallable Income Strategy Et,ACEI,20260109,24.83,24.83,24.5008,24.73,49600
Alps Clean Energy ETF,ACES,20260109,34.34,34.34,33.97,34.16,8800
American Century Large Cap Growth ETF,ACGR,20260109,66.453,66.453,66.453,66.453,100
Innovator Index Autocallable Income Strategy ETF,ACII,20260109,25.41,25.48,25.37,25.46,36000
Aptus Collared Income Opportunity ETF,ACIO,20260109,43.94,44.2393,43.94,44.15,99000
Vistashares Target 15 Acktivist Distribution ETF,ACKY,20260109,20.377,20.4,20.28,20.395,32600
American Century Large Cap Equity ETF,ACLC,20260109,79.79,80.01,79.79,79.9699,4500
Xtrackers MSCI ACWI Ex USA ESG Leaders ETF,ACSG,20260109,43.2066,43.2066,43.2066,43.2066,0
