<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Agilent Technologies,A,20260109,147.48,150.03,147.15,148.52,1819000
Alcoa Corp,AA,20260109,61.16,63.785,60.646,63.67,7025300
AA Mission Acquisition Corp Cl A,AAM,20260109,10.7,10.7,10.7,10.7,100
Acadian Asset Management Inc,AAMI,20260109,50.88,51.6,50.4,51.37,199900
Advance Auto Parts Inc,AAP,20260109,42.51,43.86,41.6,43.84,1606900
American Assets Trust,AAT,20260109,18.73,18.89,18.64,18.84,356800
Allied Gold Corp,AAUC,20260109,25.16,25.16,24.25,25.12,1437400
Alliancebernstein Holding LP,AB,20260109,38.45,38.87,38.3,38.31,177500
Abbvie Inc,ABBV,20260109,223.75,225.12,219,220.08,6714100
Ameris Bancorp,ABCB,20260109,79.11,79.55,78,79.13,424200
Ambev S.A. ADR,ABEV,20260109,2.54,2.57,2.53,2.56,18215700
Asbury Automotive Group Inc,ABG,20260109,250.8,256.1,247.54,256.03,187100
ABM Industries Inc,ABM,20260109,44.02,44.71,43.93,44.69,563100
Arbor Realty Trust,ABR,20260109,7.91,8.14,7.78,8.07,3624300
Arbor Realty Trust Inc,ABR-D,20260109,17.75,17.85,17.67,17.83,13000
Arbor Realty Trust Inc,ABR-E,20260109,17.56,17.8,17.47,17.79,15000
Arbor Realty Trust Inc,ABR-F,20260109,21.99,22.1,21.9,22.08,11000
,ABRpD,20260109,17.75,17.85,17.67,17.805,10269
,ABRpE,20260109,17.56,17.8,17.47,17.78,13425
,ABRpF,20260109,21.9862,22.1,21.9,22.1,8402
Abbott Laboratories,ABT,20260109,126.42,127.14,125.23,125.92,4317600
Barrick Gold Corp,ABX,20260109,8.76,8.79,8.29,8.62,551000
,ABXL,20260109,25.68,26.01,25.68,26,8900
Arcosa Inc,ACA,20260109,109.16,111.52,109.16,111.42,209600
Acco Brands Corp,ACCO,20260109,3.88,3.9599,3.785,3.93,603700
Accel Entertainment Inc,ACEL,20260109,11.78,11.865,11.51,11.52,354600
Aluminum Corp of China Ltd ADR,ACH,20260109,2.36,2.505,2.3,2.46,1801200
Archer Aviation Inc WT [Achr.W],ACH.W,20260109,1.58,1.6,1.485,1.5539,101900
Archer Aviation Inc,ACHR,20260109,8.9,8.97,8.55,8.81,60240800
,ACHR.WS,20260109,1.58,1.6,1.485,1.5539,100378
Albertsons Companies Inc Cl A,ACI,20260109,16.7,16.95,16.625,16.66,11663400
Tcw AAA Clo ETF,ACLO,20260109,50.38,50.38,50.38,50.38,100
Aecom Technology Corp,ACM,20260109,99.51,100.66,98.7,99.58,742400
Accenture Plc,ACN,20260109,281.96,284.4,277.3271,280.67,3135900
Abrnd Income Credit Strategies Fund,ACP,20260109,5.51,5.54,5.505,5.54,441500
Aberdeen Income Credit Strategies Fund,ACP-A,20260109,20.1,20.53,20.1,20.405,9000
,ACPpA,20260109,20.1,20.53,20.1,20.405,7094
Acres Commercial Realty Corp,ACR,20260109,20.47,20.85,20.39,20.72,17600
Acres Commercial Realty Corp Pfd,ACR-C,20260109,24.84,24.89,24.8,24.8,17500
Acres Commercial Realty Corp,ACR-D,20260109,21.81,21.92,21.7428,21.82,1900
Ares Commercial Real Estate Cor,ACRE,20260109,4.91,5.055,4.91,5.01,547600
,ACRpC,20260109,24.84,24.89,24.8,24.8,16284
,ACRpD,20260109,21.91,21.92,21.7428,21.82,1204
Virtus Diversified Income & Convertible Fund,ACV,20260109,28.32,29.0418,27.197,27.5,46500
Acv Auctions Inc Cl A,ACVA,20260109,8.66,8.87,8.4,8.78,2404300
Array Digital Infrastructure Inc,AD,20260109,52.28,53.9,52.15,52.72,209800
Agree Realty Corp,ADC,20260109,70.56,71.12,69.56,70.51,1705200
Agree Realty Corp,ADC-A,20260109,17.25,17.3499,17.22,17.27,11200
,ADCpA,20260109,17.25,17.3499,17.22,17.27,9132
Adc Therapeutics Sa,ADCT,20260109,3.62,3.83,3.54,3.66,637600
Archer Daniels Midland,ADM,20260109,61.77,62.42,60.94,61.94,3568000
Adient Plc,ADNT,20260109,20.4,20.69,20.01,20.6,1481500
ADT Inc,ADT,20260109,8.23,8.355,8.17,8.25,5130100
Adams Diversified Equity Fund,ADX,20260109,23.45,23.6,23.4,23.55,368300
Ameren Corp,AEE,20260109,100.14,101.13,99.77,99.91,1451100
Aegon Funding Company Llc 5.10%,AEFC,20260109,19.84,19.96,19.82,19.95,41100
Aegon N.V. ADR,AEG,20260109,7.62,7.66,7.5901,7.63,4105700
Agnico-Eagle Mines Ltd,AEM,20260109,187.4,191.8799,186.84,191.14,2581400
American Eagle Outfitters,AEO,20260109,27.81,28.3,26.37,26.82,9186700
Aercap Holdings N.V.,AER,20260109,147.99,148.59,144.21,144.3,1232700
Grupo Aeromexico S.A.B. ADR,AERO.OB,20260109,21.18,21.18,19.62,20.6,272300
The Aes Corp,AES,20260109,14.33,14.725,14.29,14.32,7743700
Atlas Energy Solutions Inc Cl A,AESI,20260109,10.36,10.425,10.045,10.36,1851400
American Exceptionalism Acquisition Corp. A Cl A,AEXA,20260109,11.21,11.6,11.21,11.32,343400
Alliance National Municipal,AFB,20260109,10.9,10.92,10.88,10.9,73700
American Financial Group,AFG,20260109,134.72,135.48,132.24,132.31,313100
American Financial Group Inc 5.875%,AFGB,20260109,21.69,21.79,21.69,21.72,6700
American Financial Group Inc 5.125%,AFGC,20260109,19.33,19.33,19.18,19.246,11300
American Financial Group Inc 5.625%,AFGD,20260109,20.97,21.04,20.97,21.02,5200
American Financial Group Inc 4.500%,AFGE,20260109,17.26,17.2636,17.05,17.18,11300
Aflac Inc,AFL,20260109,109.87,110.75,109.23,109.24,1720900
First Majestic Silver,AG,20260109,18.24,18.98,17.95,18.91,21938700
Agco Corp,AGCO,20260109,114,114.53,111.64,111.9,871900
Abrdn Global Dynamic Dividend Fund,AGD,20260109,12.05,12.31,12,12.2,146900
Alamos Gold Inc,AGI,20260109,41.92,42.89,41.71,41.81,2200200
Agilon Health Inc,AGL,20260109,0.9045,0.9966,0.8801,0.9921,14286300
Federal Agricultural Mortgage Corp,AGM,20260109,177.22,177.99,174.5,175.18,92500
Federal Agricultural Mortgage Corp [Agm/Pd],AGM-D,20260109,20.88,21.15,20.88,21.08,16200
Federal Agricultural Mortgage Corp [Agm/Pe],AGM-E,20260109,21.41,21.41,21.2901,21.2901,1200
Federal Agricultural Mortgage Corp [Agm/Pf],AGM-F,20260109,19.42,19.5308,19.3001,19.43,10800
Federal Agricultural Mortgage Corp,AGM-G,20260109,17.98,18.17,17.96,18.14,6700
Federal Agricultural Mortgage Corp,AGM-H,20260109,24.8,24.89,24.8,24.89,2900
,AGMpD,20260109,20.88,21.15,20.88,21.05,14472
,AGMpE,20260109,21.41,21.41,21.2901,21.2901,696
,AGMpF,20260109,19.42,19.5308,19.3001,19.43,10031
,AGMpG,20260109,17.98,18.17,17.96,18.02,5616
,AGMpH,20260109,24.8,24.89,24.8,24.89,2700
Assured Guaranty Ltd,AGO,20260109,90.12,90.935,89.725,90,315300
Adecoagro S.A.,AGRO,20260109,8.2,8.46,8.08,8.35,855000
Argan Inc,AGX,20260109,318,320,305.96,311.87,300400
Armada Hoffler Properties Inc,AHH,20260109,6.75,6.865,6.75,6.85,556700
Armada Hoffler Pptys Inc [Ahh/Pa],AHH-A,20260109,21.06,21.2001,21.01,21.105,14400
,AHHpA,20260109,21.06,21.2001,21.01,21.105,13377
Aspen Insurance Holdings Limited Cl A,AHL,20260109,37.22,37.355,37.22,37.25,168100
Aspen Insurance Holdings Ltd [Ahl/Pd],AHL-D,20260109,19.8,19.9086,19.78,19.86,11900
Aspen Insurance Holdings Ltd [Ahl/Pe],AHL-E,20260109,19.9,19.9,19.78,19.82,16000
Aspen Insurance Holdings Ltd Pfd F,AHL-F,20260109,24.78,24.8179,24.674,24.73,13800
,AHLpD,20260109,19.8,19.9086,19.78,19.86,10629
,AHLpE,20260109,19.9,19.9,19.78,19.82,13930
,AHLpF,20260109,24.78,24.8179,24.674,24.73,7583
American Healthcare REIT Inc,AHR,20260109,47.14,48.6,47.14,47.28,1264100
Ashford Hospitality Trust Inc,AHT,20260109,4.47,4.5425,4.25,4.31,48900
Ashford Hospitality TR Inc [Aht/Pd],AHT-D,20260109,19.79,20,19.58,20,2400
Ashford Hospitality TR Inc [Aht/Pf],AHT-F,20260109,14.04,14.3299,13.889,14.262,7200
Ashford Hospitality TR Inc [Aht/Pg],AHT-G,20260109,14.09,14.34,13.88,14.1602,9800
Ashford Hospitality TR Inc [Aht/Ph],AHT-H,20260109,14.63,14.7114,13.88,14.19,8900
Ashford Hospitality TR Inc [Aht/Pi],AHT-I,20260109,14.01,14.3399,13.7862,14.3399,9400
,AHTpD,20260109,19.79,20,19.58,20,2227
,AHTpF,20260109,14.04,14.3299,13.889,14.262,6426
,AHTpG,20260109,14.09,14.34,13.88,14.1602,9054
,AHTpH,20260109,14.63,14.7114,13.88,14.19,7600
,AHTpI,20260109,14.01,14.3399,13.7862,14.3399,8786
C3.Ai Inc Cl A,AI,20260109,13.96,14.245,13.6,14.02,4972700
American International Group,AIG,20260109,78,78.35,75.05,75.43,9380600
American Integrity Insurance Group Inc,AII,20260109,20.32,20.32,19.65,19.76,73700
AI Infrstr Acquisition Corp Unit [Aiia.U],AII.U,20260109,10.21,10.21,10.19,10.19,2100
,AIIA.U,20260109,10.21,10.21,10.19,10.19,1900
Albany International Corp,AIN,20260109,55.74,56.87,54.57,56.7,450500
Virtus Artificial Intelligence & Tech Fund,AIO,20260109,22.58,23.42,22.52,23.29,516000
AAR Corp,AIR,20260109,95.91,97.33,95.435,97.03,837000
Applied Industrial Technologies,AIT,20260109,266.6,273,264.83,272.25,258600
Apartment Investment and Management,AIV,20260109,5.91,5.95,5.85,5.93,2258600
Assurant Inc,AIZ,20260109,237.17,239.89,236.68,238,210000
Assurant Inc 5.25% Subordinated Notes Due 2061,AIZN,20260109,19.95,20.41,19.7201,20.4,60700
Arthur J. Gallagher & Company,AJG,20260109,264.4,266.67,263.62,264.59,1012200
A.K.A. Brands Holding Corp,AKA,20260109,11.65,11.75,11.454,11.454,1500
The Frontier Economic Fund,AKAF,20260109,30.82,30.86,30.7584,30.7584,1100
Embotell Andina Sa Cl A ADR,AKO.A,20260109,23.0773,23.0773,23,23,400
Embotell Andna Sa Cl B ADR,AKO.B,20260109,28.64,29.21,28.64,28.94,5400
Acadia Realty Trust,AKR,20260109,20.98,21.15,20.88,20.97,2994500
Air Lease Corp Cl A,AL,20260109,64.2,64.27,64.18,64.23,1232700
Albemarle Corp,ALB,20260109,158.07,162.98,157,161.29,2824300
Albemarle Corp Pfd A,ALB-A,20260109,64.88,66.72,64.45,66.54,1919500
,ALBpA,20260109,64.88,66.72,64.45,66.54,12556
Alcon Inc,ALC,20260109,80.35,80.64,78.855,80.13,1399900
Alexander and Baldwin Inc,ALEX,20260109,20.73,20.75,20.72,20.73,685500
Alamo Group,ALG,20260109,185.77,188.09,184.7075,186.91,105300
Alliance Laundry Holdings Inc,ALH,20260109,22.1,22.39,21.28,21.3,1015300
Alight Inc Cl A,ALIT,20260109,1.71,1.725,1.59,1.66,11913800
Alaska Air Group,ALK,20260109,49.15,50.39,48.93,49.98,3378600
Allstate Corp,ALL,20260109,210.84,215,210.27,212.21,1891000
Allstate Corp [All/Pb],ALL-B,20260109,26.03,26.03,25.8401,25.85,18400
Allstate Corp [All/Ph],ALL-H,20260109,21.23,21.45,21.14,21.3,97000
Allstate Corp [All/Pi],ALL-I,20260109,19.69,19.7599,19.46,19.55,31000
Allstate Corp Pfd,ALL-J,20260109,26.28,26.3,26.2,26.28,47800
Allegion Plc,ALLE,20260109,165.99,166.79,162.585,162.69,812700
,ALLpB,20260109,26.03,26.03,25.8401,25.85,11102
,ALLpH,20260109,21.23,21.45,21.14,21.3,85568
,ALLpI,20260109,19.69,19.7599,19.46,19.51,28192
,ALLpJ,20260109,26.28,26.3,26.2,26.2903,42468
Ally Financial,ALLY,20260109,46.13,46.48,45.35,45.72,3076400
Allison Transmission Holdings,ALSN,20260109,102.7,104.62,102.36,104.25,723500
