Ticker,Market Cap,EY,ROC,Sector,EY_rank,ROC_rank,Score
MVO,27600002.0,0.6319018404907976,2.17003,Energy,82.0,2.0,84.0
LUXE,1162605824.0,0.7386634844868735,0.26679,Consumer Cyclical,76.0,26.0,102.0
GDEVW,,1695.4314720812183,0.16660999,,6.0,101.5,107.5
ATRA,31508726.0,0.4863945578231292,0.30864,Healthcare,86.0,24.0,110.0
WNC,433126400.0,1168.511649580615,0.16520001,Industrials,7.0,106.0,113.0
AGMH,3934612.0,15.5933014354067,0.18094,Technology,43.0,83.0,126.0
CALM,3452059392.0,0.3204711616571893,0.32306,Consumer Defensive,107.0,21.0,128.0
JFIN,373586816.0,1.4346590909090908,0.19909,Communication Services,65.0,63.0,128.0
JEM,4799148.0,0.3298515667949422,0.21885,Consumer Cyclical,104.0,48.0,152.0
YB,935888832.0,0.2841770604059672,0.23003,Technology,114.0,39.0,153.0
BTMD,116278672.0,0.3147410358565737,0.2195,Healthcare,109.0,46.0,155.0
MASK,8286267.0,0.3482587064676617,0.1826,Technology,101.0,80.0,181.0
VOC,50660000.0,0.1770833333333333,0.46386,Energy,173.0,10.0,183.0
NVAX,1408866304.0,0.2593548387096774,0.18014,Healthcare,123.0,84.0,207.0
RIGL,689025024.0,0.1549049049049049,0.38929,Healthcare,196.0,13.0,209.0
AREN,199830800.0,0.1724137931034483,0.23141001,Communication Services,183.0,38.0,221.0
SIGA,472634592.0,0.1562974203338391,0.26434,Healthcare,194.0,27.0,221.0
SAGT,23460000.0,0.1657458563535911,0.22836,Technology,187.0,42.0,229.0
UPXI,146010672.0,0.2600896860986547,0.16459998,Communication Services,122.0,109.0,231.0
AGRZ,10880088.0,0.1698113207547169,0.21909,Consumer Defensive,184.0,47.0,231.0
SNYR,20478374.0,0.1546961325966851,0.23622,Healthcare,197.0,36.0,233.0
CRMD,556250688.0,0.3048951048951049,0.15685001,Healthcare,112.0,123.0,235.0
HXHX,7191250.0,0.5155588289449458,0.13748999,Industrials,85.0,176.0,261.0
GDEV,298238176.0,0.1753424657534246,0.16660999,Communication Services,178.0,101.5,279.5
NRT,79222888.0,0.1070983810709838,1.5480299,Energy,300.0,4.0,304.0
MSTR,50053730304.0,0.150157184244591,0.16753,Technology,204.0,100.0,304.0
NUTX,1220612736.0,0.1133829510555294,0.31983,Healthcare,281.0,23.0,304.0
PTCT,6053738496.0,0.110839025647635,0.25699,Healthcare,290.0,28.0,318.0
ACFN,51870804.0,0.1298828125,0.17905001,Technology,234.0,86.0,320.0
CCSI,430290752.0,0.1859030837004405,0.14249,Technology,166.0,160.0,326.0
ESEA,379057696.0,0.3139450867052022,0.12222,Industrials,110.0,222.0,332.0
STG,75949152.0,0.7143730459539238,0.11387,Consumer Defensive,79.0,264.0,343.0
BBWI,4738190336.0,0.1431103234381923,0.15291001,Consumer Cyclical,216.0,133.0,349.0
EMBC,749623808.0,0.1260700389105058,0.16586,Healthcare,247.0,105.0,352.0
PRG,1247663360.0,0.1243686868686868,0.16756001,Industrials,253.0,99.0,352.0
KSPI,15782696960.0,0.1396829359630507,0.15288,Technology,226.0,134.0,360.0
CRT,49020000.0,0.0901339829476248,0.75934,Energy,377.0,5.0,382.0
HRB,5499598848.0,0.0999544626593806,0.20528,Consumer Cyclical,333.0,55.0,388.0
GVH,2815292.0,7.889655172413793,0.09847,Industrials,50.0,356.0,406.0
HLF,1612680320.0,0.2044415414761593,0.11715999,Consumer Defensive,160.0,246.0,406.0
MO,101045444608.0,0.0895114451656986,0.22268,Consumer Defensive,383.0,45.0,428.0
OMSE,204602768.0,0.148068669527897,0.11956,Energy,211.0,237.0,448.0
PXED,1133820544.0,0.0863976083707025,0.22312,Consumer Defensive,410.0,44.0,454.0
GSL,1275939072.0,0.2602815346398013,0.10119,Industrials,121.0,336.0,457.0
SBR,1004371072.0,0.0803016858917479,5.85726,Energy,457.0,1.0,458.0
TZOO,70058400.0,0.1013824884792626,0.14483,Communication Services,325.0,153.0,478.0
CHOW,25844130.0,0.0790513833992094,0.35244998,Technology,469.0,16.0,485.0
PPC,9599292416.0,0.1288389513108614,0.115480006,Consumer Defensive,240.0,253.0,493.0
SBC,457493184.0,0.0939597315436241,0.15055001,Industrials,360.0,138.0,498.0
CRE,6711315.0,0.176678445229682,0.10163,Industrials,174.0,333.0,507.0
LFVN,78747360.0,0.1148748159057437,0.12087,Consumer Defensive,278.0,229.0,507.0
HERE,267028464.0,0.1289682539682539,0.11203,Consumer Cyclical,239.0,274.0,513.0
APA,9202267136.0,0.167736757624398,0.099259995,Energy,185.0,350.0,535.0
ANF,4848662016.0,0.1010897061685152,0.12772,Consumer Cyclical,329.0,210.0,539.0
BYD,7058615808.0,0.2559517029274404,0.092130005,Consumer Cyclical,124.0,416.0,540.0
BLBD,1551495808.0,0.0791836734693877,0.18358,Industrials,468.0,77.0,545.0
GRBK,3228609536.0,0.1045984900480439,0.11801,Consumer Cyclical,314.0,241.0,555.0
BRBR,2762031616.0,0.0727272727272727,0.25127,Consumer Defensive,531.0,31.0,562.0
WW,282829824.0,0.4455771127918448,0.08606,Consumer Cyclical,90.0,473.0,563.0
NRP,1500370688.0,0.0980057491915199,0.122209996,Energy,342.0,223.0,565.0
PHM,26370793472.0,0.097350446596112,0.122279994,Consumer Cyclical,345.0,221.0,566.0
LRN,3027644160.0,0.0929254856480139,0.12814,Consumer Defensive,365.0,208.0,573.0
EQNR,61977407488.0,0.0895772289660946,0.13075,Energy,382.0,196.0,578.0
ZIM,2598268416.0,0.3571121615814353,0.085480005,Industrials,97.0,481.5,578.5
MARPS,8880000.0,0.0688888888888888,0.40598,Energy,581.0,12.0,593.0
HESM,7295514624.0,0.0824530516431925,0.14554,Energy,442.0,152.0,594.0
DDI,450440768.0,0.2531645569620253,0.08645,Communication Services,125.5,470.0,595.5
GTX,3835981056.0,0.0835341365461847,0.13859001,Consumer Cyclical,426.0,172.0,598.0
UAN,1192995072.0,0.1064356435643564,0.10785,Basic Materials,303.0,295.0,598.0
CMCL,634162112.0,0.0784554091326999,0.15751,Basic Materials,479.0,121.0,600.0
BSM,3006327552.0,0.082679971489665,0.14148,Energy,438.0,163.0,601.0
CPRX,2747091712.0,0.0736434108527131,0.17738001,Healthcare,520.0,88.0,608.0
PSIX,1681757440.0,0.0740532169505842,0.16597,Industrials,513.0,104.0,617.0
PBYI,314440512.0,0.1178343949044585,0.099029996,Healthcare,271.0,352.0,623.0
HRMY,2059645696.0,0.0828325058792788,0.13202,Healthcare,436.0,190.0,626.0
OSPN,494770880.0,0.113584036838066,0.098409995,Technology,279.0,358.0,637.0
SM,2081449728.0,0.3542249580302182,0.08067001,Energy,98.0,543.0,641.0
ASR,9605326848.0,0.0779880447238826,0.14259,Industrials,483.0,159.0,642.0
LULU,25129041920.0,0.068838499808649,0.20285,Consumer Cyclical,582.0,60.0,642.0
BKE,2835100160.0,0.0735876214465635,0.15637,Consumer Cyclical,521.0,125.0,646.0
VIST,5207607808.0,0.1412476528270394,0.090550005,Energy,221.0,431.0,652.0
CHCI,115604480.0,0.1116666666666666,0.09668,Real Estate,287.0,371.0,658.0
YALA,1088250240.0,0.1124828532235939,0.0962,Technology,282.0,378.0,660.0
